FR;FRNW;FRNN;Weibull_FR;Normal_FR;FW;FWNW;FWNN;Weibull_FW;Normal_FW;FT;FTNW;FTNW;Weibull_FT;Normal_FT;;;Weibull;Normal;;Weibull;Normal;;Weibull;Normal
267.5644356;-3.875983243;-10.04205608;0;3.22811E-22;25.22577423;-21.99804715;-58.3033888;0;0;106.6128871;-2.680347864;-9.047174969;0;3.84048E-18;;;;;;;;;;
267.5694306;-3.86085013;-10.01011646;0;4.44654E-22;25.22777223;-21.95862379;-58.20309734;0;0;106.6138861;-2.678075533;-9.041462269;0;4.04412E-18;;;;;;;;;;
267.5744256;-3.845717017;-9.978176847;0;6.11861E-22;25.22977023;-21.91920042;-58.10280587;0;0;106.6148851;-2.675803202;-9.035749568;0;4.25842E-18;;;;;;;;;;
267.5794206;-3.830583903;-9.946237231;0;8.41087E-22;25.23176823;-21.87977706;-58.00251441;0;0;106.6158841;-2.673530871;-9.030036868;0;4.48394E-18;;;;;;;;;;
267.5844156;-3.81545079;-9.914297616;0;1.15501E-21;25.23376623;-21.8403537;-57.90222295;0;0;106.6168831;-2.67125854;-9.024324168;0;4.72124E-18;;;;;;;;;;
267.5894106;-3.800317677;-9.882358;0;1.58448E-21;25.23576424;-21.80093033;-57.80193149;0;0;106.6178821;-2.668986209;-9.018611467;0;4.97094E-18;;;;;;;;;;
267.5944056;-3.785184564;-9.850418384;0;2.17143E-21;25.23776224;-21.76150697;-57.70164003;0;0;106.6188811;-2.666713878;-9.012898767;0;5.23367E-18;;;;;;;;;;
267.5994006;-3.770051451;-9.818478769;0;2.97277E-21;25.23976024;-21.7220836;-57.60134857;0;0;106.6198801;-2.664441547;-9.007186067;0;5.51011E-18;;;;;;;;;;
267.6043956;-3.754918338;-9.786539153;0;4.06569E-21;25.24175824;-21.68266024;-57.50105711;0;0;106.6208791;-2.662169216;-9.001473366;0;5.80096E-18;;;;;;;;;;
267.6093906;-3.739785225;-9.754599537;0;5.55474E-21;25.24375624;-21.64323688;-57.40076565;0;0;106.6218781;-2.659896885;-8.995760666;0;6.10696E-18;;;;;;;;;;
267.6143856;-3.724652112;-9.722659921;0;7.58141E-21;25.24575425;-21.60381351;-57.30047419;0;0;106.6228771;-2.657624554;-8.990047966;0;6.4289E-18;;;;;;;;;;
267.6193806;-3.709518999;-9.690720306;0;1.0337E-20;25.24775225;-21.56439015;-57.20018273;0;0;106.6238761;-2.655352223;-8.984335265;0;6.76759E-18;;;;;;;;;;
267.6243756;-3.694385886;-9.65878069;0;1.40797E-20;25.24975025;-21.52496678;-57.09989127;0;0;106.6248751;-2.653079892;-8.978622565;0;7.12388E-18;;;;;;;;;;
267.6293706;-3.679252773;-9.626841074;0;1.9158E-20;25.25174825;-21.48554342;-56.99959981;0;0;106.6258741;-2.650807561;-8.972909865;0;7.49869E-18;;;;;;;;;;
267.6343656;-3.66411966;-9.594901459;0;2.60415E-20;25.25374625;-21.44612005;-56.89930835;0;0;106.6268731;-2.64853523;-8.967197164;0;7.89297E-18;;;;;;;;;;
267.6393606;-3.648986547;-9.562961843;0;3.5362E-20;25.25574426;-21.40669669;-56.79901689;0;0;106.6278721;-2.646262899;-8.961484464;0;8.3077E-18;;;;;;;;;;
267.6443556;-3.633853433;-9.531022227;0;4.79695E-20;25.25774226;-21.36727333;-56.69872543;0;0;106.6288711;-2.643990568;-8.955771764;0;8.74394E-18;;;;;;;;;;
267.6493506;-3.61872032;-9.499082611;0;6.50055E-20;25.25974026;-21.32784996;-56.59843397;0;0;106.6298701;-2.641718237;-8.950059063;0;9.20278E-18;;;;;;;;;;
267.6543457;-3.603587207;-9.467142996;0;8.80019E-20;25.26173826;-21.2884266;-56.49814251;0;0;106.6308691;-2.639445906;-8.944346363;0;9.68539E-18;;;;;;;;;;
267.6593407;-3.588454094;-9.43520338;0;1.19012E-19;25.26373626;-21.24900323;-56.39785105;0;0;106.6318681;-2.637173575;-8.938633662;0;1.0193E-17;;;;;;;;;;
267.6643357;-3.573320981;-9.403263764;0;1.60786E-19;25.26573427;-21.20957987;-56.29755959;0;0;106.6328671;-2.634901244;-8.932920962;0;1.07268E-17;;;;;;;;;;
267.6693307;-3.558187868;-9.371324149;0;2.17E-19;25.26773227;-21.17015651;-56.19726813;0;0;106.6338661;-2.632628913;-8.927208262;0;1.12882E-17;;;;;;;;;;
267.6743257;-3.543054755;-9.339384533;0;2.9257E-19;25.26973027;-21.13073314;-56.09697667;0;0;106.6348651;-2.630356582;-8.921495561;0;1.18787E-17;;;;;;;;;;
267.6793207;-3.527921642;-9.307444917;0;3.94055E-19;25.27172827;-21.09130978;-55.99668521;0;0;106.6358641;-2.628084251;-8.915782861;0;1.24995E-17;;;;;;;;;;
267.6843157;-3.512788529;-9.275505301;0;5.30202E-19;25.27372627;-21.05188641;-55.89639375;0;0;106.6368631;-2.62581192;-8.910070161;0;1.31525E-17;;;;;;;;;;
267.6893107;-3.497655416;-9.243565686;0;7.1266E-19;25.27572428;-21.01246305;-55.79610229;0;0;106.6378621;-2.623539589;-8.90435746;0;1.3839E-17;;;;;;;;;;
